"STS7" "black" "moms_age" "moms_age2" "inc_less_500" "inc_500_1000" "inc_1000_1500" "inc_1500_2000" "inc_2000_2500" "inc_2500_plus" "mom_hs_dropout" "dad_hs_dropout" "mom_hs_grad" "dad_hs_grad" "mom_some_college" "dad_some_college" "mom_college_plus" "dad_college_plus" "birth_weight_pds" "siblings_0" "siblings_1" "siblings_2" "siblings_3" "siblings_4" "siblings_5" "siblings_6_plus"
0.2 0 30 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
-0.3 0 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
-0.3 0 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
1.3 1 36 1296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
-1.6 0 33 1089 0 0 1 0 0 0 0 0 1 1 0 0 0 0 5 0 0 0 1 0 0 0
-0.3 0 32 1024 0 1 0 0 0 0 0 0 1 1 0 0 0 0 9 0 0 0 1 0 0 0
-0.8 0 36 1296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.3 0 32 1024 0 0 1 0 0 0 1 0 0 1 0 0 0 0 6 0 0 0 0 0 0 0
0.3 0 32 1024 0 0 1 0 0 0 1 0 0 1 0 0 0 0 6 0 0 0 0 0 0 0
0.3 0 32 1024 0 0 1 0 0 0 1 0 0 1 0 0 0 0 6 0 0 0 0 0 0 0
0.3 0 32 1024 0 0 1 0 0 0 1 0 0 1 0 0 0 0 6 0 0 0 0 0 0 0
1.5 0 31 961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
1.9 0 49 2401 0 0 0 1 0 0 0 1 1 0 0 0 0 0 6 0 0 0 0 0 1 0
0.8 0 36 1296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.6 1 45 2025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.8 0 35 1225 0 1 0 0 0 0 0 0 1 1 0 0 0 0 8 0 0 0 0 0 0 0
0.7 1 31 961 0 0 1 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 1 0 0 0
0.7 1 31 961 0 0 1 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 1 0 0 0
0.9 1 35 1225 1 0 0 0 0 0 1 0 0 1 0 0 0 0 6 0 0 1 0 0 0 0
0.4 0 30 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
-0.7 0 32 1024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.1 0 43 1849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
-0.6 0 28 784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.2 0 34 1156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.8 0 31 961 0 0 1 0 0 0 0 0 1 1 0 0 0 0 8 0 1 0 0 0 0 0
0.9 0 36 1296 0 0 0 1 0 0 0 0 1 0 0 0 0 1 7 0 0 1 0 0 0 0
0.2 0 38 1444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
0 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
0.9 0 32 1024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0 0 34 1156 0 0 1 0 0 0 1 1 0 0 0 0 0 0 6 0 0 0 1 0 0 0
-0.7 0 40 1600 0 0 0 1 0 0 1 1 0 0 0 0 0 0 5 0 0 0 0 0 1 0
-0.3 0 28 784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.5 0 31 961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.6 0 28 784 0 0 1 0 0 0 1 0 0 1 0 0 0 0 5 0 0 1 0 0 0 0
2 0 34 1156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.2 0 33 1089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
1.1 0 32 1024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
1.1 0 32 1024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.4 0 28 784 0 0 1 0 0 0 1 0 0 1 0 0 0 0 6 0 0 1 0 0 0 0
1 0 29 841 0 0 1 0 0 0 1 0 0 1 0 0 0 0 5 0 0 0 1 0 0 0
0.4 0 43 1849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
-0.5 0 27 729 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
0.4 0 53 2809 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.4 0 32 1024 0 1 0 0 0 0 1 0 0 1 0 0 0 0 8 0 1 0 0 0 0 0
0.8 0 31 961 0 0 0 1 0 0 0 0 1 1 0 0 0 0 7 0 0 0 0 0 0 0
0.4 0 50 2500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.7 0 38 1444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
1.2 0 27 729 0 0 1 0 0 0 1 1 0 0 0 0 0 0 7 0 1 0 0 0 0 0
0.4 0 39 1521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.2 0 39 1521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.4 0 28 784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.4 0 44 1936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
-0.5 0 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
1.2 0 33 1089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
1.1 0 30 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
-0.3 0 34 1156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
0.9 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
-1.1 1 39 1521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.9 0 33 1089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.9 0 30 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.5 0 38 1444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
1.1 0 52 2704 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.4 0 32 1024 0 0 0 1 0 0 0 0 1 0 0 1 0 0 9 0 0 1 0 0 0 0
0.5 0 38 1444 0 0 0 1 0 0 1 0 0 1 0 0 0 0 6 0 0 0 0 1 0 0
0.8 0 31 961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
3 0 31 961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
3 0 31 961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.2 0 45 2025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
-0.4 0 33 1089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
-0.5 0 36 1296 0 0 1 0 0 0 0 1 1 0 0 0 0 0 7 0 0 0 1 0 0 0
0.4 0 37 1369 0 0 1 0 0 0 1 1 0 0 0 0 0 0 8 0 0 0 1 0 0 0
1 1 33 1089 0 0 0 0 1 0 0 0 1 1 0 0 0 0 7 0 0 1 0 0 0 0
0.2 0 43 1849 0 0 0 1 0 0 0 0 1 1 0 0 0 0 7 0 0 0 0 0 0 1
0.4 1 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.4 1 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
-0.3 0 31 961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
1.1 0 34 1156 0 0 0 0 1 0 0 0 1 1 0 0 0 0 10 0 0 1 0 0 0 0
0.6 0 30 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.6 0 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0 0 35 1225 0 0 0 0 1 0 0 0 1 1 0 0 0 0 8 0 0 0 1 0 0 0
0.4 0 27 729 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
-0.5 0 45 2025 0 0 0 1 0 0 0 0 1 1 0 0 0 0 6 0 0 0 0 1 0 0
1.1 0 35 1225 0 1 0 0 0 0 0 0 1 1 0 0 0 0 9 0 0 0 0 1 0 0
1.7 0 40 1600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0 0 37 1369 0 0 1 0 0 0 1 0 0 1 0 0 0 0 6 0 0 1 0 0 0 0
0.7 0 38 1444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
-1.3 0 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
0.4 0 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
0.8 0 45 2025 0 0 0 1 0 0 0 0 1 0 0 0 0 1 6 0 0 0 0 0 1 0
0.4 0 51 2601 0 0 0 1 0 0 0 1 1 0 0 0 0 0 7 0 0 0 0 0 1 0
0.5 1 32 1024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.4 0 30 900 0 1 0 0 0 0 1 1 0 0 0 0 0 0 7 0 0 1 0 0 0 0
1.7 1 43 1849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.4 0 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
2.8 0 42 1764 0 0 0 1 0 0 0 1 1 0 0 0 0 0 7 0 0 1 0 0 0 0
1.2 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.1 0 32 1024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
2.2 0 25 625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
1.1 1 32 1024 0 1 0 0 0 0 0 1 1 0 0 0 0 0 6 0 0 0 0 0 0 0
-0.3 0 41 1681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
1.6 0 30 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.7 0 35 1225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.2 0 33 1089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
0.2 0 28 784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.4 0 34 1156 0 0 0 1 0 0 0 1 1 0 0 0 0 0 6 0 0 0 0 0 1 0
0.6 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
-0.2 0 28 784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.2 0 40 1600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
-0.3 0 41 1681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
1.7 0 30 900 0 1 0 0 0 0 0 0 0 1 1 0 0 0 8 0 0 0 0 0 0 0
-0.7 0 43 1849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
1 0 38 1444 0 0 0 1 0 0 0 0 1 1 0 0 0 0 7 0 0 1 0 0 0 0
1.3 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.4 0 33 1089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
-0.5 0 41 1681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.8 0 45 2025 0 0 1 0 0 0 0 0 1 1 0 0 0 0 7 0 0 0 0 0 0 1
0.9 0 36 1296 0 0 0 1 0 0 0 0 1 1 0 0 0 0 6 0 0 0 1 0 0 0
0.9 0 36 1296 0 0 0 1 0 0 0 0 1 1 0 0 0 0 6 0 0 0 1 0 0 0
1.2 0 38 1444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
-0.4 0 30 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
1.1 0 30 900 0 0 0 0 0 0 0 1 1 0 0 0 0 0 8 0 0 0 1 0 0 0
0.1 0 39 1521 0 0 0 1 0 0 1 1 0 0 0 0 0 0 8 0 0 0 1 0 0 0
1.5 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
1.1 0 35 1225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
1.4 0 41 1681 0 0 1 0 0 0 0 1 1 0 0 0 0 0 9 0 0 0 0 0 1 0
0.6 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
1.8 0 31 961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
-1.1 0 46 2116 0 0 0 1 0 0 1 0 0 1 0 0 0 0 6 0 0 0 0 1 0 0
0.3 0 38 1444 0 0 0 1 0 0 1 1 0 0 0 0 0 0 7 0 0 1 0 0 0 0
1.1 0 32 1024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.7 0 34 1156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
2.5 0 44 1936 0 0 0 1 0 0 0 0 1 1 0 0 0 0 6 0 0 0 1 0 0 0
1.5 0 47 2209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.2 0 41 1681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
-1.3 0 40 1600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.6 0 32 1024 0 0 1 0 0 0 0 1 1 0 0 0 0 0 6 0 0 0 0 0 0 0
0.6 0 30 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.7 0 45 2025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
1.1 0 33 1089 0 0 1 0 0 0 1 1 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.9 0 32 1024 0 0 1 0 0 0 1 0 0 1 0 0 0 0 7 0 0 0 0 0 0 0
0 0 30 900 0 0 1 0 0 0 0 0 1 1 0 0 0 0 9 0 0 1 0 0 0 0
1.3 1 36 1296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
1.3 0 43 1849 0 0 1 0 0 0 0 1 1 0 0 0 0 0 7 0 0 0 0 1 0 0
-0.5 0 41 1681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.2 0 39 1521 0 0 0 0 0 1 0 0 1 0 0 1 0 0 8 0 0 0 0 0 0 1
0.9 0 28 784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
1.1 0 50 2500 0 0 1 0 0 0 1 1 0 0 0 0 0 0 5 0 0 0 0 0 0 0
0.8 0 50 2500 0 0 1 0 0 0 1 1 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.7 0 27 729 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.5 0 36 1296 0 0 1 0 0 0 1 0 0 1 0 0 0 0 6 0 1 0 0 0 0 0
0.4 0 30 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
-0.2 0 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
0.9 0 32 1024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.3 0 28 784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.6 0 40 1600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.6 0 40 1600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
1 0 25 625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
1.6 0 33 1089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
1.2 0 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
-0.5 0 31 961 0 1 0 0 0 0 1 1 0 0 0 0 0 0 5 0 0 0 0 0 0 0
0 0 30 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
-1.6 0 42 1764 0 0 1 0 0 0 0 1 1 0 0 0 0 0 5 0 0 0 0 0 0 0
0.7 0 38 1444 0 0 0 1 0 0 1 1 0 0 0 0 0 0 7 0 0 0 0 0 0 1
2.7 0 32 1024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.2 0 35 1225 0 0 1 0 0 0 1 1 0 0 0 0 0 0 6 0 0 0 0 0 1 0
1.1 0 33 1089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
-0.2 0 41 1681 0 0 1 0 0 0 0 0 1 1 0 0 0 0 5 0 0 0 0 1 0 0
2 0 32 1024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
-1.7 0 31 961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
1.3 0 38 1444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
-0.6 0 38 1444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
-0.2 0 32 1024 0 0 1 0 0 0 0 1 1 0 0 0 0 0 7 0 0 1 0 0 0 0
0 0 35 1225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.2 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.2 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.1 0 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
1.1 0 41 1681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
1.2 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
2 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
1.9 0 43 1849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0.6 0 33 1089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
0.2 0 33 1089 0 0 0 1 0 0 0 0 1 1 0 0 0 0 6 0 0 1 0 0 0 0
1.3 0 31 961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
1.9 0 31 961 0 1 0 0 0 0 0 0 0 0 0 0 1 1 4 0 1 0 0 0 0 0
1.3 0 29 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0 0 37 1369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
2 0 49 2401 0 0 0 1 0 0 0 0 0 1 0 0 1 0 7 0 0 0 0 1 0 0
0 0 27 729 0 0 1 0 0 0 1 1 0 0 0 0 0 0 6 0 0 0 0 0 0 0
2.2 0 39 1521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
0.4 0 33 1089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
-0.9 0 33 1089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
0.4 0 35 1225 0 0 1 0 0 0 0 0 1 1 0 0 0 0 8 0 0 1 0 0 0 0
1.5 0 34 1156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
